Num_Acc,id_vehicule,fixed_obstacle ,movable_obstacle,initial_shock,maneuver,motor,occupants_public_transport
201900000127,138 306 291,0,2,1,15,1,0.0
201900000127,138 306 292,0,2,2,1,1,0.0
201900000128,138 306 289,0,2,1,0,1,0.0
201900000128,138 306 290,0,2,8,10,1,0.0
201900000129,138 306 285,0,2,3,1,1,0.0
201900000129,138 306 286,0,2,3,1,1,0.0
201900000129,138 306 287,0,2,2,12,1,0.0
201900000130,138 306 283,6,0,1,26,1,4.0
201900000131,138 306 282,0,1,3,1,1,0.0
201900000132,138 306 273,0,2,2,15,1,0.0
201900000132,138 306 274,0,2,1,1,1,0.0
201900000132,138 306 275,0,2,1,23,1,0.0
201900000133,138 306 269,0,1,2,16,1,1.0
201900000134,138 306 268,2,0,7,1,1,0.0
201900000135,138 306 262,0,1,2,1,1,0.0
201900000136,138 306 261,0,1,2,15,6,0.0
201900000137,138 306 260,0,1,2,1,1,0.0
201900000138,138 306 256,0,2,1,1,1,0.0
201900000138,138 306 257,0,2,3,16,1,0.0
201900000139,138 306 252,0,2,1,17,0,0.0
201900000139,138 306 253,0,2,6,1,0,0.0
201900000139,138 306 254,0,2,3,0,0,0.0
201900000139,138 306 255,0,2,1,1,0,0.0
201900000140,138 306 251,0,0,0,26,0,0.0
201900000141,138 306 248,0,2,4,1,1,0.0
201900000141,138 306 249,0,2,4,1,1,0.0
201900000141,138 306 250,0,2,1,1,1,0.0
201900000142,138 306 245,0,2,1,13,1,0.0
201900000142,138 306 246,0,2,8,1,1,0.0
201900000142,138 306 247,0,2,1,1,1,0.0
201900000143,138 306 243,0,2,1,1,1,0.0
201900000143,138 306 244,0,2,1,5,5,0.0
201900000144,138 306 242,0,1,1,15,1,0.0
201900000145,138 306 241,0,0,1,26,5,0.0
201900000146,138 306 240,0,1,1,1,1,0.0
201900000147,138 306 239,6,0,1,15,1,0.0
201900000148,138 306 237,0,2,7,15,1,0.0
201900000148,138 306 238,0,2,3,19,1,0.0
201900000149,138 306 235,0,2,1,1,1,0.0
201900000149,138 306 236,0,2,1,13,1,0.0
201900000150,138 306 233,0,2,1,0,1,0.0
