,Accident ID,road category,traffic regime,total number of traffic lanes,existence of reserved lanes,plan layout,surface condition,development - infrastructure,situation of the accident,maximum authorized speed at the scene and at the time of the accident
157,201900000158,3.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,80.0
158,201900000159,6.0,,2.0,0.0,1.0,1.0,9.0,8.0,20.0
159,201900000160,3.0,2.0,2.0,0.0,1.0,7.0,0.0,1.0,
160,201900000161,3.0,2.0,2.0,0.0,1.0,1.0,9.0,1.0,80.0
161,201900000162,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
162,201900000163,3.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
163,201900000164,3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,80.0
164,201900000165,3.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,80.0
165,201900000166,4.0,2.0,2.0,0.0,2.0,1.0,0.0,8.0,80.0
166,201900000167,3.0,2.0,2.0,0.0,2.0,1.0,2.0,3.0,80.0
167,201900000168,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
168,201900000169,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
169,201900000170,3.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,80.0
170,201900000171,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
171,201900000172,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
172,201900000173,3.0,2.0,2.0,0.0,2.0,1.0,5.0,1.0,80.0
173,201900000174,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
174,201900000175,3.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,80.0
175,201900000176,3.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,80.0
176,201900000177,4.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,80.0
177,201900000178,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
178,201900000179,3.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,70.0
179,201900000180,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
180,201900000181,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
181,201900000182,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,80.0
182,201900000183,3.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,50.0
183,201900000184,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
184,201900000185,3.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,80.0
185,201900000186,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
186,201900000187,3.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,70.0
187,201900000188,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,80.0
188,201900000189,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,50.0
189,201900000190,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,70.0
